Time Stamp, Send Size Total
221,46579
442,42216
663,36269
884,45174
1105,30422
1326,17373
1547,32897
1768,62060
1989,51383
2210,37277
2431,37540
2652,42711
2873,15526
3094,15878
3315,922
3536,1286
3757,918
3978,736
4199,41429
4420,59552
4641,6260
4862,944
5083,755
5304,0
5525,755
5746,16684
5967,68787
6188,5590
6409,3038
6630,4197
6851,5305
7072,3436
7293,3551
7514,4044
7735,3194
7956,2941
8177,57555
8398,69219
8619,58428
8840,57286
9061,77139
9282,48135
9503,48479
9724,52046
9945,46735
10166,47986
10387,49152
10608,51414
10829,46488
11050,48647
11271,53612
11492,48127
11713,52782
11934,42390
12155,52385
12376,48382
12597,48264
12818,52847
13039,48913
13260,47841
13481,52835
13702,49416
13923,47150
14144,46971
14365,51585
14586,45847
14807,54145
15028,12947
15249,7733
15470,5918
15691,7865
15912,5875
16133,7961
16354,7499
16575,6218
16796,4676
17017,6984
17238,7201
17459,10521
17680,77648
17901,35238
18122,34171
18343,31313
18564,35834
18785,32098
19006,23421
19227,42029
19448,27017
19669,37046
19890,34665
20111,26753
20332,50190
20553,36806
20774,9194
20995,9156
21216,8360
21437,14360
21658,12988
21879,15148
22100,12139
22321,8937
22542,11341
22763,6885
22984,8192
23205,57420
23426,63668
23647,66250
23868,58192
24089,56849
24310,60320
24531,53650
24752,47232
24973,48597
25194,48927
25415,48798
25636,48550
25857,51985
26078,47156
26299,48920
26520,52259
26741,52489
26962,46621
27183,51553
27404,42921
27625,38105
27846,27490
28067,27809
28288,20384
28509,21600
28730,27982
28951,25605
29172,24711
29393,48301
29614,38455
29835,41766
30056,28327
30277,63426
30498,46219
30719,47086
30940,47863
31161,49270
31382,47462
31603,38050
31824,48164
32045,53327
32266,47022
32487,51357
32708,51685
32929,31960
33150,41423
33371,53568
33592,49619
33813,48625
34034,50982
34255,48206
34476,48151
34697,51209
34918,48768
35139,49552
35360,47002
35581,45879
35802,51315
36023,47409
36244,47956
36465,48748
36686,48641
36907,48646
37128,47438
37349,48208
37570,48460
37791,48080
38012,52154
38233,43638
38454,52654
38675,51888
38896,46696
39117,50853
39338,47815
39559,3832
39780,3024
40001,2925
40222,3849
40443,3360
40664,4338
40885,4180
41106,3411
41327,4780
41548,3103
41769,3994
41990,3029
42211,4200
42432,3504
42653,2593
42874,8752
43095,11836
43316,44746
43537,98680
43758,69146
43979,69871
44200,53116
44421,49103
44642,50203
44863,44374
45084,50554
45305,50001
45526,48920
45747,50041
45968,44367
46189,46869
46410,50924
46631,50184
46852,49151
47073,48352
47294,48893
47515,52000
47736,45857
47957,45601
48178,51458
48399,48159
48620,52814
48841,48184
49062,47959
49283,54389
49504,47988
49725,49783
49946,32280
50167,18355
50388,26139
50609,39010
50830,43579
51051,50387
51272,47820
51493,54531
51714,48609
51935,49581
52156,52521
52377,50172
52598,48870
52819,48410
53040,54655
53261,47895
53482,47315
53703,26304
53924,19028
54145,11719
54366,19185
54587,18103
54808,12212
55029,21020
55250,20203
55471,12888
55692,16430
55913,18086
56134,1231
56355,1044
56576,1044
56797,1044
57018,6741
57239,69329
57460,72451
57681,64568
57902,58944
58123,69507
58344,4654
58565,846
58786,1014
59007,1014
59228,12562
59449,76954
59670,7716
59891,8983
60112,7521
60333,5669
60554,4726
60775,8073
60996,6594
61217,9658
61438,10135
61659,70876
61880,67909
62101,64612
62322,61763
62543,56181
62764,40957
62985,52450
63206,48769
63427,49252
63648,50425
63869,55054
64090,49438
64311,48577
64532,49276
64753,49621
64974,49545
65195,51707
65416,49274
65637,48872
65858,51878
66079,48404
66300,46902
66521,54292
66742,47242
66963,49387
67184,47123
67405,47598
67626,47686
67847,52550
68068,48191
68289,45934
68510,11663
68731,8776
68952,7698
69173,8913
69394,11896
69615,25133
69836,26062
70057,21180
70278,13299
70499,10771
70720,9225
70941,12304
71162,9047
71383,7740
71604,11591
71825,5124
72046,10849
72267,11151
72488,8239
72709,9504
72930,6887
73151,8598
73372,10095
73593,8752
73814,7008
74035,8699
74256,6954
74477,10965
74698,10694
74919,17008
75140,9918
75361,56416
75582,79256
75803,63588
76024,66875
76245,63638
76466,63106
76687,48555
76908,49688
77129,48373
77350,49602
77571,51777
77792,47387
78013,52306
78234,48452
78455,48104
78676,50894
78897,49018
79118,50003
79339,50465
79560,45676
79781,53548
80002,47011
80223,52754
80444,41654
80665,53674
80886,46850
81107,52442
81328,47998
81549,52816
81770,48388
81991,48804
82212,49287
82433,48499
82654,48362
82875,50287
83096,51267
83317,51590
83538,46846
83759,51891
83980,51192
84201,46978
84422,47355
84643,52395
84864,46736
85085,28624
85306,55928
85527,48980
85748,53027
85969,45686
86190,52948
86411,46717
86632,51878
86853,51420
87074,46809
87295,54036
87516,48167
87737,49033
87958,47862
88179,46656
88400,47343
88621,52106
88842,49640
89063,48624
89284,51891
89505,52677
89726,48144
89947,53236
90168,45376
90389,53847
90610,48204
90831,53236
91052,46517
91273,51536
91494,47349
91715,52893
91936,47442
92157,52539
92378,46800
92599,52010
92820,51361
93041,46134
93262,46985
93483,53079
93704,49226
93925,50422
94146,47207
94367,51803
94588,48465
94809,49716
95030,51868
95251,46493
95472,52546
95693,49271
95914,52696
96135,45823
96356,53469
96577,47561
96798,47697
97019,52424
97240,46514
97461,51251
97682,52217
97903,46831
98124,51335
98345,50467
98566,28088
98787,1083
99008,902
99229,1263
99450,902
99671,722
99892,50044
100113,41867
100334,26516
100555,13375
100776,27082
100997,17759
101218,20657
101439,16652
101660,14704
101881,21637
102102,37985
102323,67970
102544,80155
102765,69024
102986,60417
103207,60902
103428,53477
103649,48025
103870,52922
104091,45711
104312,35593
104533,862
104754,17660
104975,5513
105196,960
105417,1108
105638,1017
105859,4850
106080,46141
106301,36047
106522,36508
106743,30181
106964,33210
107185,33168
107406,7195
107627,10205
107848,10135
108069,7440
108290,5893
108511,7364
108732,6658
108953,13578
109174,7229
109395,5128
109616,850
109837,1011
110058,842
110279,1011
110500,49568
110721,6946
110942,9510
111163,5087
111384,5234
111605,6106
111826,38774
112047,4508
112268,1786
112489,3318
112710,2659
112931,2516
113152,1582
113373,909
113594,906
113815,906
114036,4325
114257,52957
114478,38769
114699,78480
114920,54292
115141,59271
115362,42821
115583,47968
115804,32534
116025,508
116246,678
116467,339
116688,847
116909,1017
117130,1017
117351,339
117572,0
117793,0
118014,0
118235,0
118456,0
118677,0
118898,0
119119,0
119340,0
119561,0
119782,0
120003,0
120224,0
120445,0
120666,0
120887,0
121108,0
121329,0
121550,0
121771,0
121992,0
122213,0
122434,0
122655,0
122876,0
123097,0
123318,0
123539,0
123760,0
123981,0
124202,0
124423,0
124644,0
124865,0
125086,0
125307,0
125528,0
125749,0
125970,0
126191,0
126412,0
126633,0
126854,0
127075,0
127296,0
127517,0
127738,0
127959,0
128180,0
128401,0
128622,0
128843,0
129064,0
129285,0
129506,0
129727,0
129948,0
130169,0
130390,0
130611,0
130832,0
131053,0
131274,0
131495,0
131716,0
131937,0
132158,0
132379,0
132600,0
132821,0
133042,0
133263,0
133484,0
133705,0
133926,0
134147,0
134368,0
134589,0
134810,0
135031,0
135252,0
135473,0
135694,0
135915,0
136136,0
136357,0
136578,0
